crop_type,soil_type,crop_growth_stage,season,region,soil_moisture,temperature,humidity,rainfall_mm,area_hectares,previous_irrigation_mm,irrigation_type,water_source,mulching_used,water_required_mm,irrigation_need,data_source
Maize,Clay,Harvest,Kharif,Central,12.79,18.39,42.08,1190.29,14.82,23.88,Rainfed,River,Yes,9.23,Low,real
Maize,Silty,Sowing,Kharif,North,58.75,25.6,55.98,1201.45,6.87,55.83,Rainfed,Rainwater,Yes,23.32,Low,real
Rice,Clay,Vegetative,Zaid,East,34.89,17.12,54.78,633.6,3.11,48.34,Drip,Rainwater,No,33.32,Medium,real
Maize,Silty,Flowering,Zaid,West,15.98,18.32,87.01,555.82,6.79,33.19,Rainfed,Groundwater,No,31.41,Medium,real
Maize,Sandy,Sowing,Kharif,Central,46.23,21.6,51.7,1419.97,2.37,15.12,Drip,River,No,6.9,Low,real
Cotton,Sandy,Harvest,Zaid,West,32.99,36.28,45.39,550.47,10.54,37.77,Canal,Reservoir,Yes,15.66,Low,real
Cotton,Clay,Sowing,Rabi,West,8.96,18.62,35.67,997.3,7.94,70.54,Drip,Groundwater,Yes,39.06,Low,real
Maize,Clay,Sowing,Kharif,Central,16.64,24.5,88.15,1421.71,11.83,46.39,Canal,Groundwater,Yes,27.3,Low,real
Maize,Loamy,Harvest,Zaid,South,47.44,37.11,46.62,1826.17,5.5,112.51,Sprinkler,River,Yes,41.2,Low,real
Rice,Loamy,Flowering,Kharif,West,61.19,30.17,92.7,405.08,4.37,43.31,Canal,River,No,35.43,Medium,real
Maize,Loamy,Sowing,Zaid,East,20.85,36.85,73.52,1461.93,5.13,7.16,Drip,Groundwater,No,6.72,Medium,real
Rice,Loamy,Vegetative,Kharif,East,9.6,20.66,45.12,252.73,11.58,86.16,Sprinkler,River,No,115.82,High,real
Cotton,Silty,Vegetative,Rabi,South,10.46,35.23,50.92,1214.95,2.58,38.17,Canal,River,No,46.22,High,real
Maize,Silty,Vegetative,Rabi,East,27.52,20.27,91.16,1481.3,7.45,20.16,Rainfed,Rainwater,No,15.29,Medium,real
Maize,Clay,Sowing,Rabi,East,12.38,26.43,25.93,931.09,12.87,26.51,Canal,River,No,22.72,Medium,real
Rice,Silty,Harvest,Zaid,West,30.4,39.87,61.75,1675.42,5.82,61.52,Sprinkler,River,Yes,26.92,Low,real
Rice,Silty,Harvest,Rabi,South,14.79,35.62,62.5,1216.18,12.29,4.7,Canal,Rainwater,Yes,2.15,Low,real
Maize,Clay,Sowing,Zaid,North,13.71,33.61,62.44,695.66,0.46,114.03,Rainfed,Reservoir,No,104.65,Medium,real
Rice,Loamy,Sowing,Zaid,South,54.03,16.7,66.33,738.24,7.49,27.5,Rainfed,Reservoir,No,11.01,Low,real
Cotton,Sandy,Vegetative,Rabi,North,15.71,38.16,86.24,584.53,0.69,98.28,Canal,Groundwater,Yes,93.98,Medium,real
Maize,Silty,Vegetative,Zaid,Central,41.94,35.2,39.75,2385.45,12.77,111.48,Canal,River,No,86.29,Medium,real
Maize,Loamy,Sowing,Zaid,East,25.3,17.78,53.37,1512.36,12.91,112.23,Canal,Rainwater,No,59.08,Low,real
Maize,Silty,Vegetative,Rabi,Central,39.87,35.14,89.3,166.18,13.45,58.61,Drip,River,Yes,63.22,Medium,real
Rice,Clay,Harvest,Rabi,South,34.55,28.9,40.2,4.88,13.74,16.82,Rainfed,River,No,9.85,Low,real
Rice,Loamy,Vegetative,Rabi,North,11.29,41.82,78.36,117.09,10.84,57.71,Rainfed,Reservoir,No,103.4,High,real
Rice,Loamy,Vegetative,Zaid,South,18.63,14.07,83.45,412.84,0.48,86.79,Rainfed,Rainwater,Yes,73.6,Medium,real
Rice,Silty,Flowering,Zaid,South,39.95,38.02,83.25,2274.93,3.06,71.14,Canal,River,Yes,48.31,Low,real
Maize,Loamy,Flowering,Zaid,Central,41.23,21.5,49.01,1185.97,7.44,48.76,Rainfed,Rainwater,Yes,27.94,Low,real
Maize,Clay,Sowing,Rabi,Central,50.42,16.42,73.54,144.37,2.8,81.36,Drip,Reservoir,Yes,46.86,Low,real
Cotton,Silty,Vegetative,Rabi,East,59.49,16.14,70.52,1215.23,5.66,0.88,Sprinkler,River,No,0.33,Low,real
Rice,Clay,Flowering,Zaid,West,20.35,39.64,73.41,293.45,2.28,66.08,Drip,Rainwater,No,123.24,High,real
Rice,Sandy,Vegetative,Rabi,South,42.03,31.77,64.85,2422.47,14.42,33.61,Rainfed,Groundwater,No,25.18,Medium,real
Maize,Sandy,Harvest,Zaid,Central,10.03,16.69,67.96,605.71,9.29,109.22,Drip,Groundwater,Yes,41.46,Low,real
Rice,Silty,Flowering,Rabi,Central,23.58,25.67,80.3,1072.78,7.56,23.38,Rainfed,Rainwater,No,23.21,Medium,real
Maize,Loamy,Sowing,Kharif,Central,44.5,12.88,37.36,711.48,5.1,60.65,Sprinkler,Reservoir,No,26.2,Low,real
Cotton,Silty,Harvest,Rabi,West,27.52,27.37,54.12,2135.06,6.06,29.12,Canal,Rainwater,Yes,11.63,Low,real
Maize,Silty,Vegetative,Zaid,Central,23.2,25.07,44.74,72.0,11.08,68.61,Drip,Rainwater,Yes,107.74,High,real
Maize,Sandy,Vegetative,Rabi,West,64.14,21.41,45.45,1325.23,10.35,30.96,Canal,River,Yes,11.66,Low,real
Cotton,Sandy,Vegetative,Zaid,West,9.65,40.99,38.59,69.02,1.17,80.54,Rainfed,Groundwater,No,149.33,High,real
Rice,Sandy,Harvest,Rabi,Central,23.6,21.88,73.77,791.84,6.63,20.0,Sprinkler,River,Yes,7.8,Low,real
Maize,Clay,Flowering,Zaid,East,23.35,27.32,50.98,2399.33,10.51,112.54,Drip,Groundwater,No,113.75,Medium,real
Rice,Sandy,Harvest,Rabi,Central,63.95,35.45,52.1,2293.1,10.3,34.05,Drip,Reservoir,Yes,10.31,Low,real
Rice,Silty,Vegetative,Zaid,West,48.56,26.25,40.5,558.94,9.21,80.21,Canal,River,No,37.48,Low,real
Maize,Clay,Sowing,Rabi,West,51.42,32.86,82.36,1750.59,11.57,76.81,Drip,Reservoir,No,37.16,Low,real
Maize,Sandy,Vegetative,Rabi,East,61.49,29.47,43.72,2220.26,6.6,26.9,Rainfed,Reservoir,No,11.32,Low,real
Maize,Clay,Harvest,Kharif,East,56.5,24.51,63.36,2009.15,12.71,94.78,Canal,Reservoir,No,28.09,Low,real
Rice,Clay,Sowing,Zaid,North,20.03,28.15,54.89,2442.81,5.14,4.38,Sprinkler,Rainwater,Yes,2.67,Low,real
Rice,Clay,Flowering,Rabi,South,22.11,30.59,70.95,464.87,2.1,53.76,Drip,Groundwater,No,60.12,Medium,real
Rice,Loamy,Sowing,Zaid,East,42.23,21.19,73.77,320.05,2.42,98.19,Canal,Groundwater,Yes,56.05,Low,real
Cotton,Silty,Vegetative,Zaid,Central,27.01,23.87,78.39,193.53,0.49,29.43,Rainfed,Groundwater,No,31.17,Medium,real
Cotton,Clay,Flowering,Kharif,East,33.17,14.15,73.15,550.49,0.85,31.83,Canal,River,No,26.11,Medium,real
Rice,Silty,Vegetative,Kharif,North,36.11,17.81,29.12,666.94,14.01,85.15,Canal,Reservoir,Yes,40.95,Low,real
Cotton,Sandy,Vegetative,Rabi,North,17.06,33.73,71.78,222.22,12.05,53.72,Drip,Rainwater,No,84.09,High,real
Maize,Loamy,Harvest,Kharif,Central,48.72,39.0,80.97,2427.27,6.72,73.97,Rainfed,Rainwater,Yes,27.2,Low,real
Maize,Clay,Sowing,Zaid,East,26.63,18.05,90.49,954.42,3.13,34.54,Canal,Rainwater,Yes,18.04,Low,real
Cotton,Clay,Flowering,Rabi,North,12.51,30.55,82.52,423.03,7.51,94.87,Rainfed,Rainwater,Yes,112.16,Medium,real
Rice,Sandy,Harvest,Rabi,South,14.71,24.66,82.24,1794.78,4.14,77.43,Drip,Groundwater,Yes,31.95,Low,real
Maize,Clay,Flowering,Rabi,North,18.02,40.69,33.05,37.8,12.92,40.05,Sprinkler,Reservoir,Yes,91.05,High,real
Maize,Clay,Vegetative,Kharif,Central,37.29,26.96,59.1,1208.91,11.19,37.29,Canal,Groundwater,Yes,19.5,Low,real
Cotton,Sandy,Flowering,Rabi,East,46.39,20.55,44.22,2221.58,7.21,116.25,Canal,River,No,62.84,Low,real
Maize,Loamy,Harvest,Zaid,East,32.15,20.74,54.84,1874.67,9.62,16.41,Sprinkler,Groundwater,No,5.9,Low,real
Rice,Clay,Vegetative,Kharif,East,37.12,35.26,67.34,820.46,6.83,91.09,Sprinkler,Groundwater,No,73.69,Medium,real
Rice,Clay,Vegetative,Zaid,West,20.2,15.86,61.21,1493.8,11.98,0.3,Drip,Groundwater,Yes,0.23,Medium,real
Maize,Loamy,Sowing,Kharif,West,39.45,36.69,91.85,1788.82,8.99,52.36,Sprinkler,Groundwater,No,29.42,Low,real
Maize,Clay,Sowing,Zaid,North,12.19,28.17,30.71,989.19,1.15,86.41,Sprinkler,River,No,75.33,Medium,real
Rice,Sandy,Harvest,Rabi,North,24.18,18.87,45.85,2247.0,11.98,112.14,Rainfed,River,Yes,42.18,Low,real
Cotton,Clay,Vegetative,Zaid,South,21.85,35.59,25.53,2354.46,2.12,108.56,Canal,River,No,130.01,High,real
Maize,Loamy,Harvest,Zaid,South,29.59,26.49,71.35,2278.1,2.04,99.26,Canal,Reservoir,No,38.63,Low,real
Maize,Loamy,Sowing,Kharif,Central,54.63,23.68,57.99,1781.7,12.58,119.42,Sprinkler,Reservoir,No,51.14,Low,real
Rice,Silty,Vegetative,Kharif,North,60.03,19.38,29.7,2220.35,13.3,69.81,Drip,Groundwater,No,38.53,Medium,real
Rice,Sandy,Sowing,Zaid,North,19.53,34.63,38.72,1061.89,14.67,78.76,Canal,Groundwater,Yes,51.07,Low,real
Rice,Clay,Flowering,Kharif,West,38.95,31.18,37.13,1652.99,2.73,9.68,Canal,Reservoir,Yes,8.9,Medium,real
Rice,Clay,Sowing,Zaid,East,44.3,18.2,60.78,588.45,12.8,118.11,Canal,Reservoir,No,52.94,Low,real
Maize,Silty,Flowering,Zaid,East,37.74,35.83,72.44,1877.75,8.85,109.86,Rainfed,Reservoir,Yes,74.63,Low,real
Rice,Sandy,Vegetative,Zaid,West,18.94,13.78,34.13,1202.36,4.6,56.66,Canal,Rainwater,Yes,43.09,Medium,real
Cotton,Sandy,Flowering,Rabi,West,30.87,37.58,85.09,1380.86,12.14,87.35,Rainfed,Rainwater,Yes,91.38,Medium,real
Cotton,Silty,Vegetative,Kharif,West,53.35,41.75,44.35,1913.39,3.94,86.81,Rainfed,Groundwater,Yes,43.9,Low,real
Maize,Sandy,Flowering,Rabi,East,13.05,40.99,40.94,768.77,9.19,65.23,Canal,Groundwater,No,76.06,Medium,real
Rice,Clay,Flowering,Kharif,North,59.76,14.82,78.69,2440.3,10.69,66.45,Sprinkler,Rainwater,Yes,29.47,Low,real
Rice,Clay,Vegetative,Zaid,Central,11.31,30.2,91.23,106.45,5.2,106.21,Rainfed,Rainwater,Yes,175.43,High,real
Maize,Clay,Vegetative,Kharif,North,38.01,21.92,75.65,2470.24,6.9,38.73,Drip,River,No,27.32,Medium,real
Maize,Sandy,Flowering,Kharif,Central,13.56,31.49,38.34,1227.81,9.72,15.0,Canal,River,No,21.06,High,real
Cotton,Clay,Vegetative,Zaid,East,31.17,20.0,32.87,2378.41,2.95,43.42,Drip,Groundwater,No,31.86,Medium,real
Maize,Clay,Vegetative,Kharif,East,61.52,40.7,32.34,1211.67,3.26,109.25,Canal,Rainwater,Yes,50.58,Low,real
Rice,Loamy,Flowering,Kharif,East,64.59,28.84,42.0,1986.5,11.88,25.93,Canal,Groundwater,Yes,12.56,Low,real
Rice,Silty,Flowering,Zaid,West,62.67,30.13,68.9,977.28,5.6,88.28,Canal,Rainwater,No,63.22,Medium,real
Maize,Loamy,Harvest,Zaid,West,8.34,35.49,85.29,491.3,5.81,114.75,Sprinkler,Groundwater,No,77.59,Medium,real
Cotton,Loamy,Sowing,Zaid,South,10.72,14.44,94.48,1921.0,5.52,27.42,Sprinkler,River,Yes,14.6,Low,real
Maize,Sandy,Harvest,Kharif,Central,16.41,33.41,76.2,2275.27,2.18,84.45,Sprinkler,Rainwater,Yes,37.91,Low,real
Maize,Loamy,Harvest,Zaid,North,27.89,16.95,35.22,114.32,12.81,33.71,Canal,Reservoir,No,17.13,Low,real
Rice,Sandy,Sowing,Zaid,Central,55.31,34.21,44.44,2149.75,8.66,98.25,Sprinkler,Rainwater,Yes,46.23,Low,real
Rice,Sandy,Flowering,Kharif,South,58.88,16.24,34.24,1094.66,14.92,102.05,Rainfed,Rainwater,No,46.32,Low,real
Rice,Loamy,Flowering,Zaid,East,18.65,36.97,33.09,722.83,7.9,62.8,Rainfed,Reservoir,No,92.69,High,real
Cotton,Silty,Vegetative,Kharif,South,60.29,23.58,88.47,513.81,12.21,66.06,Sprinkler,Reservoir,No,26.89,Low,real
Rice,Silty,Vegetative,Kharif,South,34.43,22.77,72.9,832.17,12.31,99.22,Rainfed,Reservoir,No,51.01,Low,real
Maize,Loamy,Flowering,Zaid,Central,29.42,15.56,58.27,1842.1,2.47,27.68,Rainfed,Rainwater,No,16.5,Low,real
Maize,Loamy,Flowering,Zaid,West,40.93,26.16,90.62,1717.15,11.61,93.27,Drip,River,No,80.27,Medium,real
Cotton,Loamy,Harvest,Rabi,West,64.66,29.58,48.28,107.58,7.6,53.56,Canal,Groundwater,No,31.06,Medium,real
Maize,Clay,Sowing,Zaid,Central,38.98,16.49,31.52,1171.47,8.68,100.36,Canal,Groundwater,No,46.38,Low,real
Maize,Silty,Harvest,Rabi,Central,35.0,32.03,82.47,856.96,13.02,22.9,Rainfed,Reservoir,No,8.98,Low,real
Cotton,Sandy,Sowing,Rabi,South,62.41,41.75,36.85,1941.83,1.56,48.44,Sprinkler,Rainwater,No,22.2,Low,real
Cotton,Sandy,Harvest,Zaid,Central,54.06,20.8,77.09,153.02,0.97,52.24,Drip,Groundwater,No,21.13,Low,real
Maize,Loamy,Sowing,Kharif,West,9.89,34.61,56.81,1457.54,2.67,71.49,Rainfed,Reservoir,Yes,46.35,Low,real
Cotton,Sandy,Sowing,Zaid,North,51.2,15.76,80.39,93.61,5.41,6.51,Sprinkler,Groundwater,No,5.47,Medium,real
Rice,Clay,Flowering,Zaid,South,60.65,29.45,74.15,162.57,4.37,51.11,Drip,Reservoir,Yes,51.04,Medium,real
Rice,Clay,Vegetative,Zaid,Central,52.63,26.07,35.85,1140.87,2.19,92.44,Rainfed,River,Yes,41.39,Low,real
Cotton,Silty,Harvest,Rabi,East,53.61,12.24,94.75,332.81,14.88,106.63,Drip,Rainwater,No,35.27,Low,real
Rice,Clay,Flowering,Rabi,South,44.58,14.03,70.39,1803.04,1.71,15.46,Canal,River,No,11.44,Medium,real
Maize,Sandy,Flowering,Rabi,Central,40.71,28.37,71.61,1009.98,3.63,113.46,Rainfed,Groundwater,No,69.99,Low,real
Maize,Silty,Flowering,Kharif,North,18.41,41.39,56.28,2491.26,10.88,35.22,Sprinkler,Groundwater,Yes,41.07,Medium,real
Maize,Clay,Vegetative,Zaid,East,12.56,33.18,80.07,522.6,7.52,48.09,Drip,River,Yes,44.07,Medium,real
Cotton,Loamy,Vegetative,Rabi,Central,8.03,40.82,53.68,596.25,0.4,56.37,Canal,River,Yes,54.78,Medium,real
Cotton,Silty,Vegetative,Rabi,West,42.67,31.25,63.62,1302.21,8.27,7.78,Canal,Groundwater,Yes,4.04,Low,real
Cotton,Silty,Sowing,Rabi,North,28.64,36.28,35.93,1940.26,11.69,90.45,Canal,River,No,55.58,Low,real
Maize,Sandy,Sowing,Kharif,East,29.39,32.48,78.3,1719.18,3.61,72.01,Sprinkler,Reservoir,No,42.47,Low,real
Maize,Loamy,Harvest,Rabi,South,62.93,33.21,49.73,1882.46,3.4,36.62,Rainfed,Reservoir,No,10.99,Low,real
Maize,Silty,Vegetative,Rabi,South,61.36,35.09,31.0,1243.07,12.82,107.23,Canal,River,No,68.02,Medium,real
Rice,Silty,Vegetative,Kharif,East,56.34,27.71,65.76,352.94,9.92,114.22,Sprinkler,Rainwater,Yes,58.82,Low,real
Rice,Loamy,Vegetative,Rabi,Central,60.46,18.52,74.49,1355.99,13.51,108.78,Canal,Groundwater,Yes,41.45,Low,real
Maize,Clay,Harvest,Zaid,South,50.3,20.12,43.36,575.17,14.34,59.14,Rainfed,River,Yes,17.86,Low,real
Cotton,Sandy,Flowering,Zaid,North,47.68,36.35,36.16,2163.42,8.68,118.96,Canal,Groundwater,No,105.72,Medium,real
Cotton,Sandy,Sowing,Rabi,South,48.83,21.37,54.88,554.75,5.77,44.32,Drip,River,Yes,19.66,Low,real
Cotton,Sandy,Vegetative,Kharif,North,47.77,12.27,30.14,268.68,2.28,0.9,Canal,Reservoir,Yes,0.68,Medium,real
Rice,Silty,Harvest,Zaid,North,52.78,38.96,85.22,846.36,13.29,87.35,Canal,Reservoir,Yes,30.82,Low,real
Maize,Clay,Sowing,Rabi,East,20.46,21.12,88.45,1430.63,15.0,88.82,Canal,Reservoir,No,71.89,Medium,real
Rice,Sandy,Flowering,Rabi,East,64.4,21.74,79.98,255.91,3.87,57.68,Sprinkler,Reservoir,No,47.54,Medium,real
Rice,Sandy,Harvest,Rabi,West,12.34,22.74,49.34,652.4,8.99,85.41,Canal,Groundwater,No,34.56,Low,real
Cotton,Silty,Flowering,Rabi,East,42.41,31.63,28.53,2472.72,11.53,99.85,Rainfed,Rainwater,Yes,89.35,Medium,real
Rice,Loamy,Vegetative,Kharif,South,11.86,15.99,92.32,242.04,9.59,57.96,Drip,Reservoir,Yes,57.5,Medium,real
Rice,Clay,Vegetative,Zaid,South,47.83,15.83,60.42,1238.54,10.55,91.27,Rainfed,Rainwater,No,55.05,Medium,real
Cotton,Silty,Harvest,Kharif,West,17.25,14.65,67.65,133.35,11.06,85.47,Rainfed,Groundwater,Yes,63.78,Medium,real
Cotton,Clay,Vegetative,Kharif,South,17.76,40.69,34.27,875.29,10.49,109.25,Canal,Groundwater,No,106.16,Medium,real
Rice,Sandy,Sowing,Kharif,Central,21.29,33.81,54.78,226.24,4.57,45.68,Sprinkler,River,No,54.33,Medium,real
Maize,Clay,Flowering,Zaid,West,51.17,38.91,29.79,95.17,9.16,29.72,Drip,River,No,37.6,Medium,real
Cotton,Silty,Flowering,Rabi,North,52.62,30.81,52.98,1319.98,7.32,57.5,Sprinkler,Rainwater,Yes,32.35,Low,real
Rice,Sandy,Sowing,Kharif,East,50.53,22.94,42.76,1336.59,9.1,106.78,Canal,Groundwater,No,47.33,Low,real
Maize,Silty,Flowering,Zaid,Central,10.88,15.03,86.37,2451.79,14.48,60.36,Sprinkler,Rainwater,Yes,55.1,Medium,real
Maize,Loamy,Harvest,Kharif,West,58.87,25.83,37.85,1094.35,9.8,56.93,Drip,River,No,16.66,Low,real
Rice,Loamy,Sowing,Kharif,East,39.54,29.49,80.7,1701.6,5.38,58.34,Canal,Reservoir,No,30.64,Low,real
Maize,Silty,Vegetative,Rabi,South,63.65,25.96,87.76,1729.54,5.32,18.99,Drip,Reservoir,Yes,7.53,Low,real
Rice,Silty,Vegetative,Zaid,South,35.82,39.94,34.97,1284.83,1.42,97.66,Sprinkler,Groundwater,Yes,83.31,Medium,real
Rice,Sandy,Flowering,Rabi,North,11.29,16.83,90.83,1018.38,5.76,21.38,Rainfed,Groundwater,No,19.91,Medium,real
Rice,Clay,Harvest,Rabi,East,47.85,41.51,30.88,1199.42,8.66,105.21,Sprinkler,Rainwater,No,39.36,Low,real
Cotton,Loamy,Harvest,Kharif,West,37.94,28.95,91.19,991.32,7.35,30.32,Sprinkler,Rainwater,No,11.25,Low,real
Cotton,Silty,Sowing,Rabi,East,55.58,38.15,54.68,2107.21,12.42,104.06,Canal,River,Yes,50.58,Low,real
Rice,Silty,Vegetative,Zaid,Central,34.77,22.38,35.91,217.84,0.56,4.91,Sprinkler,Rainwater,No,4.71,Medium,real
Cotton,Silty,Flowering,Kharif,North,12.37,30.58,67.98,1695.23,1.9,18.91,Drip,Reservoir,No,26.32,High,real
Cotton,Clay,Flowering,Rabi,Central,48.24,25.47,28.3,1486.18,5.6,63.98,Sprinkler,Reservoir,No,51.02,Medium,real
Rice,Silty,Sowing,Zaid,West,30.44,18.08,66.6,1580.55,9.62,70.87,Rainfed,River,No,35.89,Low,real
Rice,Clay,Sowing,Zaid,West,49.03,27.73,82.86,1919.18,8.18,73.77,Sprinkler,River,No,34.82,Low,real
Maize,Clay,Vegetative,Rabi,South,30.52,39.81,30.4,1096.72,2.48,91.13,Canal,Groundwater,No,81.25,Medium,real
Maize,Silty,Sowing,Kharif,South,20.98,19.92,82.97,2176.63,14.69,63.68,Canal,Rainwater,Yes,35.48,Low,real
Maize,Silty,Sowing,Rabi,Central,8.69,21.54,82.44,2224.15,1.59,10.11,Sprinkler,Reservoir,No,8.25,Medium,real
Rice,Silty,Sowing,Kharif,Central,60.34,38.41,58.21,768.53,10.63,1.39,Sprinkler,River,Yes,0.64,Low,real
Cotton,Loamy,Sowing,Rabi,West,42.07,12.71,35.33,1922.28,4.14,96.13,Rainfed,Rainwater,Yes,42.49,Low,real
Cotton,Sandy,Vegetative,Rabi,South,30.71,29.7,86.8,469.3,8.39,46.34,Canal,Reservoir,No,27.84,Low,real
Maize,Clay,Sowing,Kharif,East,56.06,39.1,84.15,1390.51,7.08,35.48,Rainfed,Rainwater,Yes,17.3,Low,real
Maize,Loamy,Harvest,Zaid,West,57.11,33.88,40.52,282.21,10.81,99.38,Canal,Reservoir,No,57.12,Medium,real
Cotton,Loamy,Flowering,Rabi,East,33.72,31.57,54.57,270.03,8.8,98.59,Sprinkler,Groundwater,Yes,120.21,Medium,real
Rice,Clay,Harvest,Kharif,North,30.89,24.42,86.07,1033.0,8.33,33.6,Rainfed,River,No,12.67,Low,real
Maize,Silty,Vegetative,Zaid,South,43.59,32.68,43.34,979.75,0.9,12.58,Drip,Reservoir,Yes,6.56,Low,real
Rice,Loamy,Harvest,Zaid,East,46.72,36.88,47.93,2128.64,4.39,48.83,Drip,River,No,17.97,Low,real
Rice,Sandy,Sowing,Rabi,Central,10.31,25.25,44.5,2013.75,14.73,110.24,Drip,Reservoir,No,93.39,Medium,real
Rice,Silty,Flowering,Kharif,North,45.4,16.88,87.52,1888.2,6.35,44.23,Drip,Rainwater,No,33.16,Medium,real
Rice,Loamy,Vegetative,Kharif,West,55.31,32.0,92.92,1830.48,1.3,87.52,Canal,Reservoir,No,57.64,Medium,real
Cotton,Sandy,Sowing,Kharif,East,19.43,21.54,45.15,1487.11,5.01,72.67,Sprinkler,Rainwater,Yes,41.5,Low,real
Cotton,Silty,Sowing,Rabi,West,58.67,16.19,82.06,1684.86,2.71,6.18,Rainfed,River,Yes,2.34,Low,real
Rice,Loamy,Harvest,Rabi,South,26.37,35.83,72.49,1792.33,4.01,57.92,Sprinkler,Groundwater,No,25.28,Low,real
Cotton,Silty,Vegetative,Kharif,North,8.76,21.72,43.42,2278.41,9.9,97.45,Rainfed,Rainwater,No,79.64,Medium,real
Cotton,Sandy,Vegetative,Rabi,South,56.07,12.66,47.29,1587.86,0.94,106.03,Sprinkler,River,No,40.78,Low,real
